,hold,buy,sell,mv / exp
DM Gov,0.0023,0.0005,0.0005,1.0
Corp IG,0.0033,0.001,0.001,1.0
Corp HY,0.006,0.002,0.002,1.0
EM Gov,0.0044,0.002,0.002,1.0
DM Equities,0.0049,0.001,0.001,1.0
EM Equities,0.0071,0.0015,0.0015,1.0
Private Equity,0.0356,0.003,0.003,1.0
Infrastructure,0.0152,0.003,0.003,1.0
Real Estate,0.0133,0.003,0.003,1.0
Hedge Funds,0.0171,0.003,0.003,1.0
Put 90 option,0.0,0.00025,0.00025,0.029432174988461346
Put 95 option,0.0,0.00025,0.00025,0.045874063678679744
Put ATMF option,0.0,0.00025,0.00025,0.06873231549242509
Call ATMF option,0.0,0.00025,0.00025,0.06873231549242509
Call 105 option,0.0,0.00025,0.00025,0.04531242076494818
Call 110 option,0.0,0.00025,0.00025,0.0284548525368441
