,hold,buy,sell,mv / exp
DM Gov,0.0023,0.0,0.0,1.0
Corp IG,0.0033,0.0,0.0,1.0
Corp HY,0.006,0.0,0.0,1.0
EM Gov,0.0044,0.0,0.0,1.0
DM Equities,0.0049,0.0,0.0,1.0
EM Equities,0.0071,0.0,0.0,1.0
Private Equity,0.0356,0.0,0.0,1.0
Infrastructure,0.0152,0.0,0.0,1.0
Real Estate,0.0133,0.0,0.0,1.0
Hedge Funds,0.0171,0.0,0.0,1.0
Put 90 option,0.0,0.0,0.0,0.0294321749884613
Put 95 option,0.0,0.0,0.0,0.0458740636786797
Put ATMF option,0.0,0.0,0.0,0.068732315492425
Call ATMF option,0.0,0.0,0.0,0.068732315492425
Call 105 option,0.0,0.0,0.0,0.0453124207649481
Call 110 option,0.0,0.0,0.0,0.0284548525368441
